Название;Автор;Наличие;Цена со скидкой;Цена без скидки;Скидка
Spring Boot 2. Лучшие практики для профессионалов;Гутьеррес Фелипе;На складе;2154;2762;22
Python. Искусственный интеллект, большие данные и облачные вычисления;Дейтел Пол Дж., Дейтел Харви;На складе;2715;3481;22
Эволюционные нейросети на языке Python;Омельяненко Ярослав;На складе;1428;2040;30
Алгоритмы обучения с подкреплением на Python;Лонца Андреа;На складе;1428;2040;30
Цифровой синтез. Практический курс;Романов А. Ю. и др.;На складе;1856;2651;30
Системное программирование. Лабораторные работы. Учебное пособие;Жулабова Фатима Тахировна;На складе;1014;1448;30
Криптография и взлом шифров на Python;Свейгарт Эл;Ограничено;1814;2592;30
Машинное обучение. Карманный справочник. Краткое руководство по методам структурированного машинного;Харрисон Мэтт;Ограничено;969;1384;30
Программист-прагматик;Томас Дэвид, Хант Эндрю;На складе;2419;3456;30
Параллельное программирование на C++ с помощью библиотеки TBB;Восс Майкл и др.;На складе;2141;3059;30
Предметно-ориентированное проектирование в Enterprise Java;Наир Виджей;На складе;1428;2040;30
Генеративное глубокое обучение. Творческий потенциал нейронных сетей;Фостер Дэвид;На складе;1800;2308;22
Анализ данных при помощи Microsoft Power BI и Power Pivot для Excel;Феррари Альберто, Руссо Марко;На складе;1428;2040;30
Распределенные системы реального времени. Теория и практика;Эрджиес Кайхан;На складе;1713;2447;30
Программирование на Python. Базовый курс;Седжвик Роберт и др.;Ограничено;1814;2592;30
Нативная разработка мобильных приложений. Перекрестный справочник для iOS и Android;Льюис Шон, Данн Майк;На складе;1428;2040;30
Паттерны объектно-ориентированного проектирования;Гамма Э. и др.;На складе;818;1049;22
Применение пакета MATLAB и SIMULINK для анализа электрических цепей. Том 1;Фриск Валерий Владимирович и др.;На складе;857;1224;30
Управление памятью в .NET для профессионалов;Кокоса Конрад;На складе;2713;3876;30
Terraform. Инфраструктура на уровне кода;Брикман Евгений;На складе;1530;1961;22
Языки программирования и методы трансляции. Учебное пособие;Свердлов Сергей Залманович;На складе;2710;3872;30
Исследование операций и методы оптимизации. Учебное пособие;Болотский Александр Владимирович, Кочеткова Ольга Анатольевна;На складе;472;674;30
Веб-компоненты в действии;Фаррелл Бен;На складе;1570;2243;30
Машинное обучение на R: экспертные техники для прогностического анализа;Ланц Бретт;На складе;2303;2953;22
Head First. Изучаем Go;Макгаврен Джей;На складе;2443;3132;22
Глубокое обучение. Погружение в мир нейронных сетей;Николенко С. и др.;На складе;987;1265;22
Архитектура компьютерных систем. Курс лекций. Учебное пособие;Белугина Светлана Викторовна;Ограничено;974;1392;30
Разработка программных модулей программного обеспечения для компьютерных систем. Прикладное програм.;Белугина Светлана Викторовна;Ограничено;1805;2578;30
Основы программирования информационного контента. Учебное пособие;Быкадорова Елена Анатольевна, Синявская Оксана Николаевна;На складе;594;849;30
Численные методы. Учебник;Слабнов Виктор Дмитриевич;На складе;2504;3577;30
Введение в глубокое обучение;Черняк Евгений;На складе;969;1384;30
Язык C. Самое необходимое;Прохоренок Николай Анатольевич;На складе;692;988;30
Машинное обучение без лишних слов;Бурков Андрей;На складе;1101;1412;22
Легкий способ выучить Python 3 еще глубже;Шоу Зед А.;На складе;707;906;22
Практикум по численным методам в вычислительных средах matlab и mathcad. Учебное пособие;Бастрон Алевтина Алексеевна, Охапкина Елена Павловна;На складе;498;712;30
Программирование на языке Пролог для задач искусственного интеллекта. Введение в логическое программ;Ефимова Елена Анатольевна;На складе;777;1110;30
Информационные системы и программирование. Специалист по информационным системам. Выпускная квалифик;Логачев Максим Сергеевич;На складе;3557;5081;30
Совершенный алгоритм. Жадные алгоритмы и динамическое программирование;Рафгарден Тим;На складе;1196;1533;22
Паттерны Kubernetes. Шаблоны разработки собственных облачных приложений;Ибрам Билджин, Хасс Роланд;На складе;1357;1740;22
SCALA для нетерпеливых;Хостманн Кей;На складе;1070;1529;30
Обучение с подкреплением;Саттон Ричард С., Барто Эндрю Г.;На складе;2713;3876;30
Рекомендательные системы на практике;Фальк Ким;На складе;1428;2040;30
