Название;Автор;Наличие;Цена со скидкой;Цена без скидки;Скидка
Дневник охотника за ошибками. Путешествие через джунгли проблем безопасности программного обеспеч.;Клейн Тобиас;На складе;717;1024;30
Введение в UML от создателей языка;Рамбо Джеймс и др.;На складе;856;1223;30
Технологии программирования на Java 2. Распределенные приложения;Дейтел Харви и др.;Ограничено;417;596;30
Silverlight 4. Создание насыщенных Web-приложений;Байдачный Сергей Сергеевич;На складе;390;557;30
EJB 3 в действии;Панда Дебу и др.;На складе;1428;2040;30
Обработка неструктурированных текстов. Поиск, организация и манипулирование;Ингерсолл Грант С. и др.;На складе;1070;1529;30
Жемчужины проектирования алгоритмов. Функциональный подход. С примерами на языке Haskell;Бёрд Ричард;На складе;856;1223;30
Асинхронное программирование в C# 5.0;Дэвис Алекс;На складе;369;527;30
Радиолюбительские конструкции на PIC-микроконтроллерах. Книга 1 (+CD);Заец Николай Иванович;На складе;452;645;30
Практика программирования на языке Паскаль. Задачи и решения;Медведик Владимир Иванович;На складе;999;1427;30
Методы обработки и распознавания изображений лиц в задачах биометрии;Кухарев Георгий Александрович и др.;На складе;848;1212;30
Эффективные технологии создания информационных систем;Мещеряков Сергей Владимирович, Иванов Владимир Михайлович;На складе;474;677;30
Введение в теорию языков программирования;Довек Жиль, Леви Жан-Жак;На складе;438;626;30
Spring в действии;Уоллс Крейг;На складе;1428;2040;30
Программирование на языке OCaml;Мински Ярон и др.;На складе;1428;2040;30
Платформа Windows Azure;Редкар Теджасви, Тони Гвидичи;На складе;1142;1631;30
"За пределами ""Linux с нуля"". Версия 7.4. Том 2";;На складе;1142;1631;30
Расширение библиотеки jQuery;Вуд Кит;Ограничено;856;1223;30
.NET Сетевое программирование;Кумар Винод и др.;На складе;894;1277;30
Редкая профессия;Зуев Евгений Александрович;На складе;438;626;30
Моделирование электротехнических устройств в MATLAB. SimPowerSystems и Simulink;Черных Илья Викторович;На складе;579;827;30
Java. Эффективное программирование;Блох Джошуа;На складе;825;1179;30
Разработка веб-приложений с использованием AngularJS;Козловский Павел, Бэкон Дарвин Питер;На складе;928;1325;30
Zend Framework 2.0 разработка веб-приложений;Шасанкар Кришна;Ограничено;455;583;22
Разработка приложений для Windows Phone. Архитектура, фреймворки, API;Гецманн Патрик и др.;На складе;1071;1530;30
Основы теории вейвлетов. Вейвлеты в MATLAB;Смоленцев Николай Константинович;Ограничено;1113;1590;30
Google App Engine Java и Google Web Toolkit. Разработка Web-приложений;Машнин Тимур Сергеевич;Ограничено;463;662;30
Visuai Basic в задачах и примерах;Сафронов Игорь Константинович;На складе;232;332;30
LabVIEW. Практический курс для инженеров и разработчиков;Магда Юрий Степанович;На складе;438;626;30
Самоучитель PHP 5/6;Кузнецов Максим Валерьевич, Симдянов Игорь Вячеславович;На складе;629;899;30
Применение микроконтролеров PIC18. Архитектура, программирование с применением С и ассемблера (+CD);Брэй Барри;На складе;958;1368;30
Программирование для школьников и студентов. Учебное пособие;Колесов Вадим Владимирович, Романов Максим Николаевич;На складе;164;234;30
jQuery Mobile. Разработка приложений для смартфонов и планшетов;Фиртман Максимилиано;На складе;291;415;30
Принципы построения, применения и проектирования компьютерной платформы U-SYS;Росляков Александр Владимирович, Крылов Павел Сергеевич;На складе;290;414;30
Разработка приложений Java EE 6 в NetBeans 7;Хеффельфингер Дэвид;Ограничено;856;1223;30
Курс практического программирования в Delphi. Объектно – ориентированное программирование. Практикум;Санников Е. В.;На складе;602;860;30
MUMPS СУБД Практика применения и опыт программирования;Каратаев Евгений Анатольевич;Ограничено;1146;1637;30
C++ AMP. Построение массивно параллельных программ с помощью Microsoft Visual C++;Грегори Кейт, Миллер Эйд;Ограничено;999;1427;30
Оптимизация производительности приложений для iOS. Для профессионалов;Во Ханг;На складе;789;1127;30
Методы программирования. Компьютерные вычисления;Могилев Александр Владимирович, Листрова Людмила Викторовна;Ограничено;355;507;30
TV-приемники на шасси VESTEL 11АКхх. Телевизионные шасси 11АК20, 11АК30, 11АК36, РТ-92 (+CD);Безверхний И. Б.;Ограничено;256;366;30
Изучаем программирование для iPAD. Практич. руководство по созданию приложений для iPAD с ОС iOS 5;Тэрнер Кирби, Харрингтон Том;На складе;1028;1468;30
Программирование на алгоритмическом языке КуМир;Анеликова Людмила Александровна, Гусева Ольга Борисовна;На складе;212;303;30
Создание web-приложений в Silverlight;Буньон Лоран;На складе;713;1018;30
С++ для начинающих;Шилдт Герберт;На складе;774;1105;30
Цифровая обработка сигналов. Моделирование в Simulink;Солонина Алла Ивановна;На складе;427;610;30
XSLT. Сборник рецептов;Мангано Сэл;На складе;777;1110;30
Основы Microsoft Visual Studio .NET 2003;Джонсон Брайан и др.;На складе;234;334;30
Средства информатизации. Телекоммуникационные технологии;Могилев Александр Владимирович, Листрова Людмила Викторовна;Ограничено;254;363;30
iPhone. Разработка приложений с открытым кодом;Здзиарски Джонатан;Ограничено;280;400;30
Профессиональное программирование приложений для iPhone и iPad;Баклин Джин;На складе;1026;1316;22
JavaFX 2.0. Разработка RIA-приложений;Машнин Тимур Сергеевич;На складе;314;449;30
Программирование для студентов и школьников на примере Small Basic;Ахметов Ильдар Геннадьевич;На складе;166;237;30
Silverlight. Практическое руководство;Браун Пит;На складе;1332;1708;22
PHP. Создание динамических страниц;Пауэрс Дэвид;На складе;1112;1112;0
Изучаем Java;Сьерра Кэтти, Бейтс Берт;На складе;1232;1579;22
Самоучитель Adobe Dreamweaver CS5.5;Дронов Владимир Александрович;На складе;254;363;30
Язык программирования Java и среда NetBeans (+DVD);Монахов Вадим Валерьевич;На складе;531;759;30
Flex 4. Рецепты программирования;Ноубл Джошуа и др.;На складе;798;1140;30
Цифровая обработка сигналов на системном уровне с использованием LabVIEW (+CD);Кехтарнаваз Насер, Ким Намджин;Ограничено;1473;2104;30
1С: Предприятие 8.2. Коротко о главном. Новые возможности версии 8.2 (+CD);Радченко Максим Григорьевич;На складе;240;343;30
"""1С.Предприятие 8"". Конвертация данных. Обмен данными между прикладными решениями (+CD)";Бояркин В.Э., Филатов А. И.;На складе;233;333;30
"Как настраивать ""1С:Предприятие 8.2"" при внедрении (+СD)";Ажеронок Валентин Александрович;На складе;233;333;30
Нейросети и нейрокомпьютеры;Злобин Владимир Константинович, Ручкин Владимир Николаевич;На складе;232;332;30
ASP.NET. Сборник рецептов (+CD);Агуров Павел Владимирович;На складе;370;528;30
Разработка Web-портала в ASP.NET.2.0 и SharePoint 2007 (+CD);Гробов Игорь Дмитриевич;На складе;439;627;30
Ассемблер для Windows (+СD);Пирогов Владислав Юрьевич;На складе;519;742;30
C# 3.0. Справочник;Албахари Джозеф;Ограничено;593;847;30
Firebird: руководство разраб баз данных;Борри Хелен;Ограничено;568;812;30
Самоучитель Silverlight 3;Дронов Владимир Александрович;На складе;291;415;30
Windows Driver Foundation: разработка драйверов;Орвик Пенни, Смит Гай;На складе;718;1025;30
Microsoft ASP.NET 2.0. Базовый курс. Мастер-класс;Эспозито Дино;На складе;697;893;22
Рефакторинг в C# и ASP.NET для профессионалов;Арсеновски Даниэль;На складе;1601;2287;30
Микрокомпьютерные системы управления. Первое знакомство;Суэмацу Есикадзу;На складе;579;827;30
Silverlight 2. Технология создания интернет-приложений;Буньон Лоран;На складе;584;834;30
Pocket PC. Руководство разработчика;Крелль Брюс Е.;Ограничено;207;296;30
Visual Basic. Освой на примерах (+CD);Культин Никита Борисович;На складе;143;204;30
Апокалипсис криптографии;;На складе;1189;1699;30
{Вы пока еще не знаете JS} Область видимости и замыкания;Симпсон Кайл;На складе;873;1119;22
